Task,N,Fleiss Kappa,Krippendorff Alpha,Avg Pairwise Kappa,Std Pairwise Kappa,Avg Pct Agreement,Std Pct Agreement
CSV data|JSON doc,40,15.04,16.12,15.04,0.02,95.0%,0.0%
KG data|Embedded doc,40,13.56,14.33,13.56,0.37,93.3%,1.4%
Unstructured data|Unstructured doc,40,16.04,16.28,16.04,0.31,98.3%,1.4%
Time labeled hypergraph,40,15.15,16.09,15.16,0.34,96.7%,1.4%
Metric labeled hypergraph,40,13.10,13.02,13.16,1.17,90.0%,4.3%
KG labeled hypergraph,40,15.58,16.27,15.58,0.36,98.3%,1.4%
Value labeled hypergraph,40,11.08,12.54,11.12,2.19,83.3%,7.6%
4-uniform hypergraph,40,13.32,15.32,13.32,1.34,90.0%,5.0%
,,,,,,,
,,,,,,,
Overall Agreement Metrics:,,,,,,,
Fleiss' Kappa:              0.853,,,,,,,
Krippendorff's Alpha:       0.911,,,,,,,
Average Pairwise Kappa:     0.853 ± 0.043 (std across pairs),,,,,,,
Average Percent Agreement:  93.1% ± 2.0% (std across pairs),,,,,,,
,,,,,,,
Variability Across Tasks:,,,,,,,
Fleiss' Kappa (mean ± std):           0.856 ± 0.100,,,,,,,
Krippendorff's Alpha (mean ± std):    0.910 ± 0.089,,,,,,,
Avg Pairwise Kappa (mean ± std):      0.857 ± 0.099,,,,,,,
Avg Pct Agreement (mean ± std):       93.1% ± 5.2%,,,,,,,
