Task,N,Fleiss Kappa,Krippendorff Alpha,Avg Pairwise Kappa,Std Pairwise Kappa,Avg Pct Agreement,Std Pct Agreement
CSV data|JSON doc,40,6.24,6.27,6.23,8.16,66.7%,26.7%
KG data|Embedded doc,40,15.08,16.14,15.11,1.17,95.0%,4.3%
Unstructured data|Unstructured doc,40,15.03,15.39,15.03,0.49,95.0%,2.5%
Time labeled hypergraph,40,12.12,14.42,5.08,8.54,90.0%,6.6%
Metric labeled hypergraph,40,13.29,14.42,13.32,1.10,93.3%,2.9%
KG labeled hypergraph,40,11.17,13.59,11.23,1.59,88.3%,5.2%
Value labeled hypergraph,40,13.40,14.52,13.44,1.35,93.3%,3.8%
4-uniform hypergraph,40,13.06,13.25,13.10,1.24,91.7%,3.8%
,,,,,,,
,,,,,,,
Overall Agreement Metrics:,,,,,,,
Fleiss' Kappa:              0.781,,,,,,,
Krippendorff's Alpha:       0.840,,,,,,,
Average Pairwise Kappa:     0.781 ± 0.022 (std across pairs),,,,,,,
Average Percent Agreement:  89.2% ± 1.0% (std across pairs),,,,,,,
,,,,,,,
Variability Across Tasks:,,,,,,,
Fleiss' Kappa (mean ± std):           0.752 ± 0.168,,,,,,,
Krippendorff's Alpha (mean ± std):    0.825 ± 0.185,,,,,,,
Avg Pairwise Kappa (mean ± std):      0.702 ± 0.232,,,,,,,
Avg Pct Agreement (mean ± std):       89.2% ± 9.4%,,,,,,,
