Source_File,Question_Type,Average_Score,Count,Std_Dev
4_uniform_hyp,Co,0.7,10,0.4216370213557839
4_uniform_hyp,E&D,0.6,10,0.45946829173634074
4_uniform_hyp,IR,1.0,10,0.0
4_uniform_hyp,TA,0.8,10,0.4216370213557839
csv_data_json_doc,Co,0.4,10,0.5163977794943223
csv_data_json_doc,E&D,0.3,10,0.4216370213557839
csv_data_json_doc,IR,0.8,10,0.4216370213557839
csv_data_json_doc,TA,0.7,10,0.48304589153964794
kg_data_embedded_doc,Co,0.6,10,0.5163977794943222
kg_data_embedded_doc,E&D,0.3,10,0.48304589153964794
kg_data_embedded_doc,IR,0.9,10,0.31622776601683794
kg_data_embedded_doc,TA,0.8,10,0.4216370213557839
kg_labeled_hyp,Co,0.65,10,0.4743416490252569
kg_labeled_hyp,E&D,0.45,10,0.49721446300587663
kg_labeled_hyp,IR,1.0,10,0.0
kg_labeled_hyp,TA,0.9,10,0.31622776601683794
metric_labeled_hyp,Co,0.65,10,0.4743416490252569
metric_labeled_hyp,E&D,0.35,10,0.4116363011742823
metric_labeled_hyp,IR,0.9,10,0.31622776601683794
metric_labeled_hyp,TA,0.9,10,0.31622776601683794
time_labeled_hyp,Co,0.65,10,0.4743416490252569
time_labeled_hyp,E&D,0.5,10,0.4714045207910317
time_labeled_hyp,IR,0.9,10,0.31622776601683794
time_labeled_hyp,TA,0.9,10,0.31622776601683794
unstructured_data_unstructured_doc,Co,0.6,10,0.5163977794943222
unstructured_data_unstructured_doc,E&D,0.6,10,0.5163977794943222
unstructured_data_unstructured_doc,IR,0.8,10,0.4216370213557839
unstructured_data_unstructured_doc,TA,1.0,10,0.0
value_labeled_hyp,Co,0.6,10,0.5163977794943222
value_labeled_hyp,E&D,0.45,10,0.43779751788545657
value_labeled_hyp,IR,1.0,10,0.0
value_labeled_hyp,TA,0.9,10,0.31622776601683794
