Question_ID,Request,Expected_Response,Actual_Response,Voter 1,Voter 2,Voter 3,comment,Final,,,,,,
IR_1,"Retrieve the SPARQL endpoint status of NoiPA in the date September 7th, 2025?",On,"The SPARQL endpoint was **online** on September 7th, 2025.
",1,1,1,,1,,,,,,
IR_1,Is the NoiPA SPARQL endpoint up in the last assessment?,On,"Yes, the NoiPA SPARQL endpoint was up in the latest assessment conducted on May 4, 2025.
",0,0,1,,0,,,,,,
IR_2,Which is the amount of data of the LiLa Lemma Bank dataset?,"1,699,687","The amount of data of the LiLa Lemma Bank dataset is around 200,000.
",0,0,0,,0,,,,,,
IR_2,How many triples does LiLa Lemma Bank have?,"1,699,687","There are 1,699,687 triples in the LiLa Lemma Bank knowledge graph.
",1,1,1,,1,,,,,,
IR_3,Which is the license of the DBLP dataset?,CC-0,"The DBLP dataset has no explicit license but it's possible to retrieve one from the metadata.
",0,0,0,,0,,,,,,
IR_3,How is DBLP licensed?,CC-0,DBLP is released under CC BY 4.0 International License.,0,0,0,,0,,,,,,
IR_4,Which is the accuracy score of WordNet?,0.00,"The accuracy score of WordNet is 0.75.
",0,0,0,,0,,,,,,
IR_4,How accurate is WordNet?,0.00,"The accuracy of WordNet cannot be determined based on the information provided. However, according to one study, WordNet's coverage of English words is estimated to be around 70%. This means that approximately 70% of English words are included in the database.

Would you like to know more about this study?",0,0,0,,0,,,,,,
IR_5,What is the trust value of the Linked Open Camera dataset?,0.5,"The trust value of the Linked Open Camera dataset is 0.75.
",0,0,0,,0,,,,,,
IR_5,How trustworthy is the Linked Open Camera dataset?,0.5,"It's important to note that the assessment of datasets' quality and reliability is a complex process that involves various factors, including data accuracy, consistency, timeliness, and more. Therefore, relying solely on one metric might not give a comprehensive view of the overall trustworthiness of a dataset. It's recommended to consider multiple aspects and perform thorough evaluations before drawing conclusions about a dataset's trustworthiness.
The overall Trust Value for this dataset is **0.75**.

This metric was calculated using the following dimensions:

- Verifiability: 0.331667
- Believability: 0.8
- Security: 0
- Performance: 0
- Interoperability: 0
- Versatility: []
- Availability: http://dati.camera.it/sparql
- Reuse of existing vocabularies: 1
- Indication of metadata: True
- Accessing of data in different ways: 0
- Dataset update frequency: []
- Age of data: 2025-05-04
- Ontology hijacking problem: False
- New terms defined in the dataset: []
- New vocabularies defined in the dataset: []
- Amount of data: 0.333333
- Number of triples linked: 0
- Representational consistency: 0
- Interpretability: 0
- Currency: 0
- Completeness: 0
- Consistency: 0
- Conciseness: 0
- Accuracy: 0
- F Score: 0.8
- Normalized score: 12.075
- Page Rank: 0.000000
- Reputation: 0.00005
- Number of labels/comments present on the data: None
- Median latency: None
- High Throughput: None
- Skos Mapping Frequency: None
- Low Latency: False
- Human Readable License Metadata Is Retrievable: True
- Human Readable License Query Is Retrievable: False
- Modification Date Of Statements Specified: False
- Level Of Detail Specified: False
- Time Elapsed Since Last Modification Specified: False
- Signed: False
- U1-Value: 0
- RC2-Value: 0
- PE3-Value: 0
- CS2-Value: 0
- IN3-Value: 0
- Functional Properties With Inconsistent Values: False
- Sameas Chains Frequency: None
- Entities As Member Of Disjoint Class: None
- Undefined Properties Used Without Declaration: False
- Average Length Of Urls (Object): None
- Minimum Length Urls (Object): None
- Maximum Length Urls (Object): None
- Mean Tp No Off: None
- Max Tp No Off: None
- Min Length Urls (Subject): None
- Max Length Urls (Subject): None
- Standard Deviation Lenght Urls (Object): None
- Standard Deviation Lenght Urls (Predicate): None
- Standard Deviation Lenght Urls (Subject): None
- Standard Deviation Of Latency: None
- Standard Deviation Of Throughput: None
- 25Th Percentile Length Urls (Object): None
- 25Th Percentile Length Urls (Subject): None
- 25Th Percentile Length Urls (Predicate): None
- 25Th Percentile Throughput: None
- 75Th Percentile Length Urls (Object): None
- 75Th Percentile Length Urls (Subject): None
- 75Th Percentile Length Urls (Predicate): None
- 75Th Percentile Throughput: None
- Median Length Urls (Object): None
- Median Length Urls (Subject): None
- Median Length Urls (Predicate): None
- Median Throughput: None
- Average Length Of Urls (Subject): None
- Average Length Of Urls (Predicate): None
- Average Throughput: None
- Average Latency: None
- Number Of Blank Nodes: None
- Number Of Labels/Comments Present On The Data: None
- Number Of Samas Chains: None
- Number Of Triples (Query): None
- Number Of Entities Counted With Regex: None
- Number Of Entities: None
- Number Of Triples (Metadata): 366800.000000
- Number Of Triples Linked: 0
- Percentage Of Data Updated: -
- Percentage Of Data Deleted: -
- Percentage Of Data Inserted: -
- Percentage Of Data Modified: -
- Percentage Of Data Moved: -
",0,0,0,,0,,,,,,
