Question_ID,Request,Expected_Response,Actual_Response,Voter 1,Voter 2,Voter 3,Colonna 1,Final,,,,,,
IR_1,"Retrieve the SPARQL endpoint status of NoiPA in the date September 7th, 2025?",On,Available,1,1,1,,1,,,,,,
IR_1,Is the NoiPA SPARQL endpoint up in the last assessment?,On,"Yes, its status is 'Available'.",1,1,1,,1,,,,,,
IR_2,Which is the amount of data of the LiLa Lemma Bank dataset?,"1,699,687","The LiLa Lemma Bank dataset has 1,699,687 triples and 21 properties. The number of entities is not specified in the report.",1,1,1,,1,,,,,,
IR_2,How many triples does LiLa Lemma Bank have?,"1,699,687",1699687,1,1,1,,1,,,,,,
IR_3,Which is the license of the DBLP dataset?,CC-0,The machine-readable licenses found for the DBLP dataset are http://www.opendefinition.org/licenses/cc-zero and https://creativecommons.org/publicdomain/zero/1.0/. Both refer to the Creative Commons Zero (CC0) license.,1,1,1,,1,,,,,,
IR_3,How is DBLP licensed?,CC-0,"The machine-readable license found in the metadata is http://www.opendefinition.org/licenses/cc-zero, and the license found by querying the endpoint is https://creativecommons.org/publicdomain/zero/1.0/.",1,1,1,,1,,,,,,
IR_4,Which is the accuracy score of WordNet?,0.00,0.0,1,1,1,,1,,,,,,
IR_4,How accurate is WordNet?,0.00,"Based on the provided quality report, the overall Accuracy score for WordNet is 0.0. This score is derived from a combination of individual accuracy metrics. For WordNet, all of these individual metrics could not be computed because the dataset does not have an available SPARQL endpoint, which is required for their calculation.  The specific accuracy metrics and their reported values are: *   **Entities as member of disjoint class:** - *   **Triples with misplaced property problem:** - *   **Triples with misplaced class problem:** - *   **Ontology Hijacking problem:** - *   **Undefined class used without declaration:** - *   **Undefined properties used without declaration:** - *   **Extensional conciseness:** - *   **Intensional conciseness:** - *   **Triples with empty annotation problem:** - *   **Triples with white space in annotation(at the beginning or at the end):** - *   **Triples with malformed data type literals problem:** - *   **Functional properties with inconsistent values:** - *   **Invalid usage of inverse-functional properties:** -",1,1,1,,1,,,,,,
IR_5,What is the trust value of the Linked Open Camera dataset?,0.5,0.5,1,0,1,,1,,,,,,
IR_5,How trustworthy is the Linked Open Camera dataset?,0.5,"Based on the quality report, the trustworthiness of the Linked Open Camera dataset (bpr) presents a mixed but generally positive picture. The data source is identified as the ""Library of the Italian Chamber of Deputies"", a reputable institution. The dataset scores highly on Believability (0.88) and uses HTTPS for secure access. However, it lacks explicit author, publisher, and contributor metadata, is not digitally signed, and is not on a trusted provider list, resulting in moderate scores for Reputation (0.5) and Verifiability (0.67).",0,1,0,,0,,,,,,
TA_1,Is the number of triples of NoiPA retrieved via the SPARQL endpoint always the same?,"No, they slightly increase over time.","No, the number of triples for NoiPA retrieved via the SPARQL endpoint is different in each report. The values reported are 412894535, 419389676, 446170057, 439796613, and 432861574.",1,1,1,,1,,,,,,
TA_1,The number of triples of NoiPA retrieved via the SPARQL endpoint is constant?,"No, they slightly increase over time.",No,1,1,1,,1,,,,,,
TA_2,Is the SPARQL endpoint of DBLP always available?,Yes,"Yes, in all the provided reports, the SPARQL endpoint for DBLP is listed as 'Available'.",1,0,1,,1,,,,,,
TA_2,Is the DBLP SPARQL endpoint always up?,Yes,"Yes, in all the provided reports, the status of the DBLP SPARQL endpoint is 'Available'.",1,0,1,,1,,,,,,
TA_3,Is the data dump of the Allie Abbreviation And Long Form dataset always set to 1 in the observed period?,"No, it is discontinuous",No,1,0,1,,1,,,,,,
TA_3,Is the data dump of the Allie Abbreviation And Long Form dataset always up?,"No, it is discontinuous","No. According to the provided quality report, one of the five assessments for the Allie Abbreviation And Long Form dataset indicates that the dump is not available ('Availability of a common accepted Media Type' is 'No dump available'), while the other four assessments indicate it is available ('Availability of a common accepted Media Type' is 'True').",1,0,1,,1,,,,,,
TA_4,Is the accuracy of NoiPA constant over time?,No,No,1,0,1,,1,,,,,,
TA_4,Does the accuracy of NoiPA remain consistent over time?,No,"No, the accuracy score for NoiPA is not consistent over time. The reports show the score fluctuating between 1 and 0.",1,0,0,,0,,,,,,
TA_5,What is the longest continuous period in which the Allie Abbreviation And Long Form dataset data dump has been equals to 1?,91 days,From 2025-05-04 to 2025-08-03,1,0,1,,1,,,,,,
TA_5,"For how long, without interruption, has the Allie Abbreviation And Long Form dataset data dump remained up?",91 days,91 days,1,0,1,,1,,,,,,
Co_1,Which dataset has the highest number of triples?,DBLP,dblp-kg,1,1,1,,1,,,,,,
Co_1,Which is the biggest dataset among the compared ones?,DBLP,dblp-kg,1,1,1,,1,,,,,,
Co_2,Which is the dataset performing worst in the license metric?,CIDOC-CRM,"NoiPA, LemmaBank, bbc-programmes",0,1,0,,0,,,,,,
Co_2,Which is the worst performing dataset in the license metric?,CIDOC-CRM,bbc-programmes,0,1,0,,0,,,,,,
Co_3,What is the mean score for the accuracy dimension?,0.50,"0,3448259999",0,0,0,,0,,,,,,
Co_3,What is the mean value of the accuracy dimension?,0.50,"0,626125",0,1,0,,0,,,,,,
Co_4,What is the best observed score in the Verifiability dimension?,"0.4983 (NoiPA, Allie, Bathing Water Quality)","0,9942",0,1,0,,0,,,,,,
Co_4,What is the highest observed Verifiability score?,"0.4983 (NoiPA, Allie, Bathing Water Quality)",1,0,1,0,,0,,,,,,
Co_5,What are the highest-performing dimensions in September 2025?,"License, Performance, Accuracy, Believability, Currency, Timeliness, Security, Conciseness and Interpretability","Based on the quality reports from September 2025, the highest-performing dimensions are: *   **Availability**: This dimension has a perfect score of 1.0 across all evaluated knowledge graphs (NoiPA, bbc-programmes, CIDOC-CRM, and dblp-kg). *   **Licensing**: This dimension also performs strongly, with two knowledge graphs (NoiPA and dblp-kg) achieving a perfect score of 1.0 and another (bbc-programmes) scoring a high 0.75.",0,0.5,0,,0,,,,,,
Co_5,What are the dimensions performing better in September 2025?,"License, Performance, Accuracy, Believability, Currency, Timeliness, Security, Conciseness and Interpretability","Based on the quality reports from September 2025, the dimensions that performed the best across the evaluated knowledge graphs are: *   **Availability**: This dimension has a perfect score of 1.0 for all evaluated knowledge graphs. *   **Licensing**: This dimension has a perfect score of 1.0 for three out of the four knowledge graphs. *   **Accuracy**: This dimension has a perfect score of 1.0 for three out of the four knowledge graphs.",0,1,0,,0,,,,,,
E&D_1,Why is the availability score equals to 1 for the DBLP dataset?,Because all the metrics in the availability dimension can be correctly computed,"Based on the provided report and documentation, the availability score for the DBLP dataset is 1 because the dataset is highly accessible through multiple methods. Specifically: *   The SPARQL endpoint is ""Available"". *   The ""Availability of RDF dump (metadata)"" metric is 1, indicating that a downloadable RDF dump is provided and online. *   The FAIR metric ""A1-D Working access point(s)"" has a score of 1, which signifies that there is an ""operational SPARQL or accessible data dump"".","0.5",0,"0.5",,"0.5",,,,,,
E&D_1,Why does the DBLP dataset have an availability score of 1?,Because all the metrics in the availability dimension can be correctly computed,"Based on the report, the DBLP dataset's availability score is 1 (or very close to 1) because it scores highly on the key metrics that constitute availability: 1.  **SPARQL endpoint:** The endpoint is consistently reported as ""Available"". 2.  **Availability of RDF dump (metadata):** The metric has a score of 1, indicating that an RDF dump is provided and online. 3.  **Performance:** The ""Median latency"" is very low (e.g., 0.172 ms), which is well below the 1000 ms threshold, and it has a positive ""Median throughput"" (e.g., 6.0). 4.  **URIs Deferenceability:** The score is nearly perfect (e.g., 0.9993), indicating that the URIs within the dataset are successfully dereferenceable.",0,0,0,,0,,,,,,
