Question_ID,Request,Expected_Response,Actual_Response,Voter 1,Voter 2,Voter 3,comment,Final,,,,,,
IR_1,"Retrieve the SPARQL endpoint status of NoiPA in the date September 7th, 2025?",On,Available,1,1,1,,1,,,,,,
IR_1,Is the NoiPA SPARQL endpoint up in the last assessment?,On,Yes,1,1,1,,1,,,,,,
IR_2,Which is the amount of data of the LiLa Lemma Bank dataset?,"1,699,687","Approximately 200,000 canonical forms.",0,0,0,,0,,,,,,
IR_2,How many triples does LiLa Lemma Bank have?,"1,699,687","The provided knowledge graph does not contain any data for a knowledge graph named ""LiLa"".",0,0,0,,0,,,,,,
IR_3,Which is the license of DBLP?,CC-0,https://creativecommons.org/publicdomain/zero/1.0/ http://www.opendefinition.org/licenses/cc-zero,1,1,1,,1,,,,,,
IR_3,How is DBLP licensed?,CC-0,"The dblp Knowledge Graph is licensed under Creative Commons Zero (CC0), identified by the URIs https://creativecommons.org/publicdomain/zero/1.0/ and http://www.opendefinition.org/licenses/cc-zero.",1,1,1,,1,,,,,,
IR_4,Which is the accuracy score of WordNet?,0.00,0.0,1,1,1,,1,,,,,,
IR_4,How accurate is WordNet?,0.00,The accuracy score for WordNet is 0.0.,1,1,1,,1,,,,,,
IR_5,What is the trust value of the Linked Open Camera dataset?,0.5,The trust value for the Linked Open Camera dataset is not available in the provided data.,0,0,0,,0,,,,,,
IR_5,How trustworthy is the Linked Open Camera dataset?,0.5,The provided Knowledge Graph does not contain any information about the Linked Open Camera dataset.,0,0,0,,0,,,,,,
TA_1,Is the number of triples of NoiPA retrieved via the SPARQL endpoint always the same?,"No, they slightly increase over time.",No,1,1,1,,1,,,,,,
TA_1,The number of triples of NoiPA retrieved via the SPARQL endpoint is constant?,"No, they slightly increase over time.",No,1,1,1,,1,,,,,,
TA_2,Is the SPARQL endpoint of DBLP always available?,Yes,Yes,1,1,1,,1,,,,,,
TA_2,Is the DBLP SPARQL endpoint always up?,Yes,"Yes, the DBLP SPARQL endpoint was available on all measured dates.",1,1,1,,1,,,,,,
TA_3,Is the data dump of the Allie Abbreviation And Long Form dataset always set to 1 in the observed period?,"No, it is discontinuous",No,1,1,1,,1,,,,,,
TA_3,Is the data dump of the Allie Abbreviation And Long Form dataset always up?,"No, it is discontinuous",No,1,1,1,,1,,,,,,
TA_4,Is the accuracy of NoiPA constant over time?,No,No,1,1,1,,1,,,,,,
TA_4,Does the accuracy of NoiPA remain consistent over time?,No,No,1,1,1,,1,,,,,,
TA_5,What is the longest continuous period in which the Allie Abbreviation And Long Form dataset data dump has been equals to 1?,91 days,From 2025-05-04 to 2025-08-03 (91 days),1,1,1,,1,,,,,,
TA_5,"For how long, without interruption, has the Allie Abbreviation And Long Form dataset data dump remained up?",91 days,126 days,0,0,0,,0,,,,,,
Co_1,Which dataset has the highest number of triples?,DBLP,bpr,0,0,0,,0,,,,,,
Co_1,Which is the biggest dataset among the compared ones?,DBLP,Coronavirus protein dataset,0,0,0,,0,,,,,,
Co_2,Which is the dataset performing worst in the license metric?,CIDOC-CRM,"It is not possible to answer the question based on the provided data, as the quality scores are missing.",0,0,0,,0,,,,,,
Co_2,Which is the worst performing dataset in the license metric?,CIDOC-CRM,The measurement values required to answer the question are not available in the provided data.,0,0,0,,0,,,,,,
Co_3,What is the mean score for the accuracy dimension?,0.50,"0,88548",0,0,0,,0,,,,,,
Co_3,What is the mean value of the accuracy dimension?,0.50,"0,48226",0.5,0,0,,0,,,,,,
Co_4,What is the best observed score in the Verifiability dimension?,"0.4983 (NoiPA, Allie, Bathing Water Quality)","0,11",0,0,0,,0,,,,,,
Co_4,What is the highest observed Verifiability score?,"0.4983 (NoiPA, Allie, Bathing Water Quality)","0,3316666667",0,0,0,,0,,,,,,
Co_5,What are the highest-performing dimensions in September 2025?,"License, Performance, Accuracy, Believability, Currency, Timeliness, Security, Conciseness and Interpretability",Performance,0.5,0.5,"0.5",,"0.5",,,,,,
Co_5,What are the dimensions performing better in September 2025?,"License, Performance, Accuracy, Believability, Currency, Timeliness, Security, Conciseness and Interpretability",Performance Versatility,0,0,0,,0,,,,,,
E&D_1,Why is the availability score equals to 1 for the DBLP dataset?,Because all the metrics in the availability dimension can be correctly computed,"The provided Knowledge Graph does not contain the documentation or definition for the 'Availability score' metric, so it is not possible to determine why the value is 1.",0,0,0,,0,,,,,,
E&D_1,Why does the DBLP dataset have an availability score of 1?,Because all the metrics in the availability dimension can be correctly computed,The provided data does not contain information explaining why the availability score is 1.,0,0,0,,0,,,,,,
E&D_2,Does a score of amount of data equals to 0 mean that the dataset is empty?,"No, it means that the amount of data cannot be computed via the SPARQL endpoint and it is not declared in the metadata.",The provided Knowledge Graph and its documentation do not contain information about what a score of 0 for the 'Amount of data score' metric signifies.,0,0,0,,0,,,,,,
E&D_2,"If the amount-of-data score is 0, does that mean the dataset contains no data?","No, it means that the amount of data cannot be computed via the SPARQL endpoint and it is not declared in the metadata.","No, based on the provided documentation, the 'Amount of data score' is an 'Overall score for the amount of data dimension computed as a linear combination of the individual amount of data metrics scores'. A score of 0 represents the lowest possible value in its [0,1] range, but it does not necessarily mean the dataset contains no data, as it is a computed value derived from other individual metrics.",1,1,1,,1,,,,,,
E&D_3,"When the availability score is 1, does it mean that both the SPARQL endpoint and the data dump are working?",Yes,"No. According to the 'A1-D Working access point(s)' metric, a score of 1 means 'operational SPARQL or accessible data dump'.","0.5",0,0,,0,,,,,,
E&D_3,"if the availability score is 1, does that mean both the SPARQL endpoint and the data dump are up?",Yes,"No. According to the 'A1-D Working access point(s)' metric, a score of 1 means ""operational SPARQL or accessible data dump"". Additionally, for the 'Availability of RDF dump (metadata)' metric, a score of 1 only means ""The RDF dump is online"" and does not account for the SPARQL endpoint.","0.5",0,0,,0,,,,,,
