Source_File,Formulation,Average_Score,Count
4_uniform_hyp,LS,0.825,20
4_uniform_hyp,RV,0.825,20
csv_data_json_doc,LS,0.65,20
csv_data_json_doc,RV,0.525,20
kg_data_embedded_doc,LS,0.475,20
kg_data_embedded_doc,RV,0.45,20
kg_labeled_hyp,LS,0.875,20
kg_labeled_hyp,RV,0.8,20
metric_labeled_hyp,LS,0.875,20
metric_labeled_hyp,RV,0.825,20
time_labeled_hyp,LS,0.85,20
time_labeled_hyp,RV,0.75,20
unstructured_data_unstructured_doc,LS,0.35,20
unstructured_data_unstructured_doc,RV,0.325,20
value_labeled_hyp,LS,0.825,20
value_labeled_hyp,RV,0.825,20
