Question_ID,Question,Answer,Expected Reply,Voter 1,Voter 2,Voter 3,Final
IR_1,Is the NoiPA SPARQL endpoint up in the last assessment?,Yes,On,1,1,1,1
IR_1,"Retrieve the SPARQL endpoint status of NoiPA in the date September 7th, 2025?",working,On,1,1,1,1
IR_2,Which is the amount of data of the LiLa Lemma Bank dataset?,"Based on the reports, the LiLa Lemma Bank dataset contains approximately 1.7 million triples (one report specifies the number as 1,699,687). The Believability section also notes that it is a collection of approximately 200,000 canonical forms for Latin.","1,699,687",1,1,1,1
IR_2,How many triples does LiLa have?,"According to the provided reports, the LiLa Lemma Bank knowledge graph has approximately 1.7 million triples. The report from 2025-06-01 specifies the number as 1,699,687 triples.","1,699,687",1,1,1,1
IR_3,How is DBLP licensed?,The provided quality report does not contain information about the DBLP knowledge graph's license.,CC-0,0,0,0,0
IR_3,Which is the license of the DBLP dataset?,The provided quality report does not contain information about the DBLP dataset's license.,CC-0,0,0,0,0
IR_4,How accurate is WordNet?,The accuracy of WordNet could not be assessed because the absence of a working SPARQL endpoint prevents the necessary checks.,0.00,0,0,0,0
IR_4,Which is the accuracy score of WordNet?,166.37.00,0.00,0,0,0,0
IR_5,How trustworthy is the Linked Open Camera dataset?,"Based on the provided report, the trustworthiness of the Linked Open Data della Camera dei deputati (dati.camera.it) is limited. It has a modest Believability score of 0.5 out of 1, an extremely low Reputation score of 0.000007518 out of 1, and a low Verifiability score of 0.11 out of 1. The dataset is not on a trusted provider list, lacks a dataset URL, and is missing machine-readable author, contributor, and publisher information. However, it does provide a clear description and lists the ""Library of the Italian Chamber of Deputies"" as a source with a contact email.","0.5",0.5,0.5,0,0.5
IR_5,What is the trust value of the Linked Open Camera dataset?,0.5,"0.5",1,1,1,1
Co_1,Which is the biggest dataset among the compared ones?,"The provided quality report does not contain the necessary data, such as the 'Number of triples' or 'Number of entities', to determine the biggest dataset.",DBLP,0,0,0,0
Co_1,Which dataset has the highest number of triples?,"The dataset with 340,000,000 triples (metadata) and 439,796,613 triples (query).",DBLP,0,0,0,0
Co_2,Which is the dataset performing worst in the license metric?,BBC Programmes,CIDOC-CRM,0,0,0,0
Co_2,Which is the dataset performing worst in the license metric?,BBC Programmes,CIDOC-CRM,0,0,0,0
Co_3,What is the mean value of the accuracy dimension?,0,0.50,0,0,0,0
Co_3,What is the mean score for the accuracy dimension?,"0,9999996",0.50,0,0,0,0
Co_4,What is the best observed score in the Verifiability dimension?,"The provided quality report does not contain any data, and the Verifiability dimension is not described in the provided documentation.","0.4983 (NoiPA, Allie, Bathing Water Quality)",0,0,0,0
Co_4,What is the highest observed Verifiability score?,The provided report does not contain a Verifiability score.,"0.4983 (NoiPA, Allie, Bathing Water Quality)",0,0,0,0
Co_5,What are the highest-performing dimensions in September 2025?,The provided quality report does not contain the necessary data to determine the highest-performing dimensions.,"License, Performance, Accuracy, Believability, Currency, Timeliness, Security, Conciseness and Interpretability",0,0,0,0
Co_5,What are the dimensions performing better in September 2025?,The provided quality report does not contain any performance data or metric values for the analysis date of September 2025.,"License, Performance, Accuracy, Believability, Currency, Timeliness, Security, Conciseness and Interpretability",0,0,0,0
TA_1,The number of triples of NoiPA retrieved via the SPARQL endpoint is constant?,No,"No, they slightly increase over time.",1,1,1,1
TA_1,Is the number of triples of NoiPA retrieved via the SPARQL endpoint always the same?,No,"No, they slightly increase over time.",1,1,1,1
TA_2,Is the DBLP SPARQL endpoint always up?,"Yes, the report states that ""the SPARQL endpoint is available and responsive"".",Yes,1,1,1,1
TA_2,Is the SPARQL endpoint of DBLP always available?,The provided quality report does not contain information about the DBLP knowledge graph.,Yes,0,0,0,0
TA_3,Is the data dump of the Allie Abbreviation And Long Form dataset always up?,No,"No, it is discontinuous",1,1,1,1
TA_3,Is the data dump of the Allie Abbreviation And Long Form dataset always set to 1 in the observed period?,No,"No, it is discontinuous",1,1,1,1
TA_4,Is the accuracy of NoiPA constant over time?,"Yes, the verbalized reports consistently describe the accuracy of NoiPA as ""high"", ""very high"", or ""strong"" across different dates.",No,0,0,0,0
TA_4,Does the accuracy of NoiPA remain consistent over time?,"Yes, the verbalized reports consistently describe NoiPA's intrinsic accuracy as ""strong"" or ""very high"" across the different time points.",No,0,0,0,0
