Question_ID,Request,Expected_Response,Actual_Response,Voter 1,Voter 2,Voter 3,comment,Final,,,,,,
IR_1,"Retrieve the SPARQL endpoint status of NoiPA in the date September 7th, 2025?",On,"The SPARQL endpoint status of NoiPA on September 7th, 2025, was ""Available"".",1,1,1,,1,,,,,,
IR_1,Is the NoiPA SPARQL endpoint up in the last assessment?,On,"Yes, the NoiPA SPARQL endpoint was ""Available"" in the last assessment on 2025-09-07. code JSON {""38794"":[""2025-09-07"",""Available"",""Sparql endpoint"",{""label"":""NoiPA""}]}",1,1,1,,1,,,,,,
IR_2,Which is the amount of data of the LiLa Lemma Bank dataset?,"1,699,687","Based on the provided data, here is the information regarding the amount of data for the LiLa Lemma Bank dataset: Description: The dataset is a collection of approximately 200,000 canonical forms for Latin. Number of triples (metadata): 1,699,687 Number of triples linked: 3,318,298 Amount of data score: 0.333333",1,1,1,too many info,1,,,,,,
IR_2,How many triples does LiLa Lemma Bank have?,"1,699,687","Based on the provided data, LiLa Lemma Bank has 1,699,687 triples according to its metadata. Additionally, the data shows: Number of triples (query): The value is ""None"", indicating this information was not available from a direct query. Number of triples linked: 3,318,298",1,1,1,,1,,,,,,
IR_3,Which is the license of the DBLP dataset?,CC-0,"Based on the provided data, the license for the DBLP dataset is Creative Commons Zero (CC0). The machine-readable license is specified as: http://www.opendefinition.org/licenses/cc-zero (for metadata) https://creativecommons.org/publicdomain/zero/1.0/ (for query)",1,1,1,,1,,,,,,
IR_3,How is DBLP licensed?,CC-0,"Based on the provided data, the DBLP Knowledge Graph is licensed under the Creative Commons Zero (CC0) license, which places it in the public domain. The machine-readable license is identified as: http://www.opendefinition.org/licenses/cc-zero https://creativecommons.org/publicdomain/zero/1.0/",1,1,1,,1,,,,,,
IR_4,Which is the accuracy score of WordNet?,0.00,"Based on the provided data, the Accuracy score for WordNet (labeled as ""w3c-wordnet"") is 0.000000. Here are the relevant entries from the file: code JSON {""8796"":[""0.000000"",""2025-05-04"",""Accuracy score"",{""label"":""w3c-wordnet""}]} {""19851"":[""0.000000"",""2025-07-13"",""Accuracy score"",{""label"":""w3c-wordnet""}]} {""29901"":[""0.000000"",""2025-08-03"",""Accuracy score"",{""label"":""w3c-wordnet""}]} {""39951"":[""0.000000"",""2025-09-07"",""Accuracy score"",{""label"":""w3c-wordnet""}]}",1,1,1,,1,,,,,,
IR_4,How accurate is WordNet?,0.00,"Based on the provided data, the ""Accuracy score"" for WordNet 2.0 (W3C) is 0.000000. This score was recorded on three separate dates: 2025-05-04 2025-07-13 2025-09-07",1,1,1,,1,,,,,,
IR_5,What is the trust value of the Linked Open Camera dataset?,0.5,"Based on the provided data, the trust value of the dataset identified by the label ""bpr"" (which corresponds to the Linked Open Camera dataset via its SPARQL endpoint http://dati.camera.it/sparql) is 0.500000. This is supported by the following entries: {""33900"":[""0.500000"",""2025-09-07"",""Trust value"",{""label"":""bpr""}]} {""2745"":[""0.500000"",""2025-05-04"",""Trust value"",{""label"":""bpr""}]} {""13800"":[""0.500000"",""2025-07-13"",""Trust value"",{""label"":""bpr""}]} {""23850"":[""0.500000"",""2025-08-03"",""Trust value"",{""label"":""bpr""}]}",1,1,1,,1,,,,,,
IR_5,How trustworthy is the Linked Open Camera dataset?,0.5,"Based on the provided data, here is an assessment of the trustworthiness of the Linked Open Camera dataset (labeled as ""bpr""): The dataset has mixed but generally positive indicators of trustworthiness. It scores perfectly on accuracy and security, but has moderate to low scores for believability and verifiability. Here are the specific scores from the most recent evaluation on September 7, 2025: Accuracy Score: 1.000000 (Perfect score) Security Score: 1.000000 (Perfect score) Believability Score: 0.500000 Trust Value: 0.500000 Verifiability Score: 0.110000 The source of the data is identified as the ""Library of the Italian Chamber of Deputies,"" which is a reputable provider. However, the low verifiability score may be due to some metadata inconsistencies, such as the ""Dataset URL"" being listed as ""absent"" in some records.",0,0,0.5,,0,,,,,,
TA_1,Is the number of triples of NoiPA retrieved via the SPARQL endpoint always the same?,"No, they slightly increase over time.","No, the number of triples of NoiPA retrieved via the SPARQL endpoint is not always the same. The value changes over time, as shown by the following data points:
2025-05-04: 412,894,535
2025-07-13: 432,861,574
2025-08-03: 439,796,613
2025-09-07: 446,170,057",1,1,1,,1,,,,,,
TA_1,The number of triples of NoiPA retrieved via the SPARQL endpoint is constant?,"No, they slightly increase over time.","No, the number of triples of NoiPA retrieved via the SPARQL endpoint is not constant. The values have changed over time:
2025-05-04: 412,894,535
2025-07-13: 432,861,574
2025-08-03: 439,796,613
2025-09-07: 446,170,057
",1,1,1,,1,,,,,,
TA_2,Is the SPARQL endpoint of DBLP always available?,Yes,"Based on the provided data, the SPARQL endpoint for dblp-kg was reported as ""Available"" on all dates it was checked:
2025-09-07: Available
2025-08-03: Available
2025-07-13: Available
2025-05-04: Available",1,1,1,,1,,,,,,
TA_2,Is the DBLP SPARQL endpoint always up?,Yes,"Based on the provided data, the DBLP SPARQL endpoint (dblp-kg) was checked on four separate dates and was found to be ""Available"" each time:
2025-05-04: Available
2025-07-13: Available
2025-08-03: Available
2025-09-07: Available",1,1,1,,1,,,,,,
TA_3,Is the data dump of the Allie Abbreviation And Long Form dataset always set to 1 in the observed period?,"No, it is discontinuous","No, the value for the data dump of the Allie Abbreviation And Long Form dataset was not always set to 1 during the observed period.
For the metric ""Availability of RDF dump (metadata)"", the value was 1.000000 for all dates until the last observation on 2025-09-07, when it changed to 0.000000.
Here are the values on the observed dates:
2025-05-04: 1.000000
2025-06-01: 1.000000
2025-07-13: 1.000000
2025-08-03: 1.000000
2025-09-07: 0.000000",1,1,1,,1,,,,,,
TA_3,Is the data dump of the Allie Abbreviation And Long Form dataset always up?,"No, it is discontinuous","Based on the provided data, the data dump for the Allie Abbreviation And Long Form dataset is not always up.
Here is a summary of the ""Availability for download (metadata)"" metric over time:
2025-05-04: Available (Score: 1.0)
2025-06-01: Available (Score: 1.0)
2025-07-13: Available (Score: 1.0)
2025-08-03: Available (Score: 1.0)
2025-09-07: Not Available (Score: 0.0)
While the dump was available for most of the monitored period, it was unavailable on the most recent check date of 2025-09-07.",1,1,1,,1,,,,,,
TA_4,Is the accuracy of NoiPA constant over time?,No,"No, the accuracy of NoiPA is not constant over time. It changed between May and July 2025. Based on the provided data: On 2025-05-04, the Accuracy score was 0.999700. On 2025-07-13, the Accuracy score was 0.999660. On 2025-08-03, the Accuracy score was 0.999660. On 2025-09-07, the Accuracy score was 0.999660.",1,1,1,,1,,,,,,
TA_4,Does the accuracy of NoiPA remain consistent over time?,No,"Yes, the accuracy of NoiPA remains highly consistent over time. Based on the provided data, the Accuracy score for NoiPA is: 0.999700 on 2025-05-04 0.999660 on 2025-07-13 0.999660 on 2025-08-03 0.999660 on 2025-09-07 The score shows a negligible change between May and July 2025 and then remains constant for the following months.",1,1,1,,1,,,,,,
TA_5,What is the longest continuous period in which the Allie Abbreviation And Long Form dataset data dump has been equals to 1?,91 days,"Based on the provided data, the longest continuous period in which the ""Availability of RDF dump (metadata)"" for the Allie Abbreviation And Long Form dataset was equal to 1 is from 2025-05-04 to 2025-08-03.",1,1,1,,1,,,,,,
