Question_ID,Request,Expected_Response,Actual_Response,Voter 1,Voter 2,Voter 3,COMMENT,Final,,,,,,
IR_1,"Retrieve the SPARQL endpoint status of NoiPA in the date September 7th, 2025?",On,"According to the data assessment on September 7th, 2025, the SPARQL endpoint status for NoiPA was:
Status: Available
The endpoint URL was: https://sparql-noipa.mef.gov.it/sparql
Additional details from that date:
Availability score: 0.500000
RDF dump availability: False (not available for download)
Metadata triples: 340,000,000
Query triples: 446,170,057
",1,1,1,,1,,,,,,
IR_1,Is the NoiPA SPARQL endpoint up in the last assessment?,On,"Yes, based on the data provided, the NoiPA SPARQL endpoint was assessed as Available in all recorded measurements. The most recent assessment from 2025-09-07 confirms it was up and running.
Here are the key details:
Status: Available (all assessments)
Endpoint URL: https://sparql-noipa.mef.gov.it/sparql
Assessment Dates: Multiple dates in 2025 (May 4, July 13, August 3, September 7)
Most Recent Check: September 7, 2025 - showing ""Available""
The data shows consistent availability across all measurement points, indicating the NoiPA SPARQL endpoint has been reliably accessible throughout the assessment period.",1,1,1,,1,,,,,,
IR_2,Which is the amount of data of the LiLa Lemma Bank dataset?,"1,699,687","Based on the available metadata, the LiLa Lemma Bank dataset contains:
1,699,687 metadata triples
3,318,298 linked triples
The dataset is described as a collection of approximately 200,000 canonical forms for Latin that are used to interlink linguistic resources in the LiLa Knowledge Base. The canonical forms are modeled using the Ontolex ontology.
For access, you can visit:
Dataset URL: http://lila-erc.eu/data/id/lemma/LemmaBank
GitHub Repository: https://github.com/CIRCSE/LiLa_Lemma-Bank
SPARQL Endpoint: https://lila-erc.eu/sparql/lila_knowledge_base/sparql
",1,1,1,,1,,,,,,
IR_2,How many triples does LiLa Lemma Bank have?,"1,699,687","Based on the available data, LiLa Lemma Bank has:
3,318,298 triples linked (the primary dataset)
1,699,687 metadata triples
The description indicates it's a collection of approximately 200,000 canonical forms for Latin that interlink linguistic resources in the LiLa Knowledge Base, modeled using the Ontolex ontology.
These numbers are consistent across multiple measurement dates (May, July, August, and September 2025), suggesting the dataset size has remained stable.",1,1,1,,1,,,,,,
IR_3,Which is the license of the DBLP dataset?,CC-0,"Based on the metadata provided, the DBLP dataset (dblp-kg) is licensed under Creative Commons Zero (CC0 1.0 Universal), which is a public domain dedication.
Key License Details:
Machine-readable license: http://www.opendefinition.org/licenses/cc-zero (equivalent to https://creativecommons.org/publicdomain/zero/1.0/)
License type: CC0 1.0 Universal
Human-readable license: Not explicitly indicated in the metadata (marked as ""-"")
This means the DBLP Knowledge Graph is released into the public domain, allowing you to freely use, modify, and distribute the data without restrictions.
",1,1,1,,1,,,,,,
IR_3,How is DBLP licensed?,CC-0,"Based on the available metadata, the DBLP Knowledge Graph (dblp-kg) is licensed under Creative Commons Zero v1.0 Universal (CC0), which is a public domain dedication.
License Details:
Machine-readable license URL: https://creativecommons.org/publicdomain/zero/1.0/ (or equivalently http://www.opendefinition.org/licenses/cc-zero)
License type: CC0 - This means the data is effectively in the public domain; you can use it freely without restrictions
Licensing score: 0.5/1.0 (indicating partial compliance with licensing best practices)
Notable Points:
The dataset provides machine-readable license information through both its metadata and SPARQL endpoint
Human-readable license information appears to be missing or not prominently indicated (marked as ""-"" in the metadata)
The license has been consistently recorded across multiple evaluation dates (May 2024 through September 2024)
This licensing applies specifically to the DBLP Knowledge Graph (dblp-kg), which is the RDF/semantic version of the DBLP bibliography
The CC0 license allows you to use, modify, and distribute the data for any purpose without requiring attribution, though attribution is still appreciated as a matter of good practice.",1,1,1,,1,,,,,,
IR_4,Which is the accuracy score of WordNet?,0.00,"The accuracy score of WordNet 2.0 (W3C) is 0.000000.
This score is consistently reported across multiple evaluation dates in 2025:
May 4, 2025
July 13, 2025
August 3, 2025
September 7, 2025
The accuracy score represents ""the overall score for the accuracy dimension computed as a linear combination of the individual accuracy metrics scores"" on a scale of [0,1], where 1 is the best value.",1,0,1,,1,,,,,,
IR_4,How accurate is WordNet?,0.00,"Based on the evaluation data provided, WordNet (specifically the W3C RDF/OWL conversion of WordNet 2.0) has an accuracy score of 0.000000 — effectively zero accuracy according to this assessment.
Key Quality Metrics for WordNet (w3c-wordnet):
Accuracy Score: 0.000000 (multiple measurements across 2025-05-04, 2025-07-13, 2025-08-03, 2025-09-07)
Completeness Score: 0.000000
Believability Score: 0.800000 (relatively high)
Verifiability Score: 0.331667 (moderate)
Consistency Score: 0.000000
FAIR Score: 3.110000 - 3.300000 (varies by date)
Important Context:
The dataset described is ""WordNet 2.0 (W3C)"" — a standard conversion of Princeton WordNet to RDF/OWL format for Semantic Web applications. The zero accuracy score likely reflects technical issues with the RDF conversion or representation rather than the inherent lexical quality of WordNet itself. Princeton WordNet is a widely respected lexical database, but this particular machine-readable conversion appears to have significant quality issues according to the evaluation framework used.
The data shows it was edited by Mark van Assem (Vrije Universiteit Amsterdam), Aldo Gangemi (ISTC-CNR, Rome), and Guus Schreiber (Vrije Universiteit Amsterdam).",1,0,1,,1,,,,,,
IR_5,What is the trust value of the Linked Open Camera dataset?,0.5,"The trust value of the Linked Open Camera dataset (bpr) is 0.500000.
This value is recorded consistently across multiple measurements taken on different dates (May, July, August, and September 2025).",1,1,1,,1,,,,,,
IR_5,How trustworthy is the Linked Open Camera dataset?,0.5,"Based on the quality assessment data provided, the Linked Open Camera dataset (identified as ""bpr"" in the metrics) shows moderate trustworthiness with several concerning limitations. Here's a detailed analysis:
Overall Trust Assessment
The dataset has a trust value of 0.5/1.0 and a FAIR score ranging from 2.88-3.46/5.0 across multiple evaluations, indicating it's functional but has significant room for improvement.
Key Strengths
✅ Security & Technical Performance
Perfect security score (1.0/1.0): The dataset demonstrates strong security measures
Good representational consistency (0.876/1.0): Data structure is well-maintained
Working SPARQL endpoint: Accessible at http://dati.camera.it/sparql
Strong authentication support: HTTPS is properly implemented
Open licensing: CC BY-SA license is consistently applied
✅ Accessibility
Metadata availability (1.0/1.0): Well-documented through standard sources
No authentication required: Publicly accessible
Machine-readable license metadata: Properly retrievable
Major Concerns
⚠️ Trust & Verifiability Issues
Very low verifiability score (0.11/1.0): Difficult to verify data authenticity and sources
Not on trusted provider list: Officially flagged as untrusted
Extremely low reputation score (0.000008/1.0): Very poor standing in the community
Ontology hijacking problems: True - serious semantic integrity issues detected where external ontologies may be incorrectly repurposed
⚠️ Limited Author Information
No authors specified (0.0/1.0): Complete lack of attribution
Publisher information missing: No institutional accountability
Limited dataset information: Flagged as ""True"" for being limited/incomplete
⚠️ Data Quality Concerns
Low accuracy score (0.6/1.0): Significant accuracy issues
Variable consistency (0.308-0.499/1.0): Inconsistent data quality
Believability only moderate (0.5/1.0): Questions about data credibility
Critical Red Flags
🚩 Semantic Integrity: The ""Ontology Hijacking problem: True"" is particularly concerning, meaning the dataset may be reusing external vocabularies incorrectly, which can lead to misinterpretation of data.
🚩 No Provenance: Complete absence of author/contributor information makes it impossible to assess expertise or accountability.
Summary of Key Metrics
Table
Copy
Metric	Score (0-1)	Assessment
Trust Value	0.5	Moderate
Verifiability	0.11	Very Poor
Accuracy	0.6	Below Average
Believability	0.5	Moderate
Reputation	0.000008	Very Poor
Security	1.0	Excellent
Consistency	0.308-0.499	Poor-Moderate
FAIR Score	2.88-3.46/5.0	Below Average
Recommendation
Use with Caution. The dataset is technically accessible and secure, but its lack of provenance, ontology hijacking issues, and very poor verifiability/reputation scores make it unsuitable for high-stakes or academic research without significant manual verification.
Best for: Experimental use, exploring Italian parliamentary data structures, or as a supplementary source when cross-verified with authoritative sources.
Avoid for: Critical decisions, academic citations, or applications requiring high data integrity without independent validation.",1,1,1,,1,,,,,,
TA_1,Is the number of triples of NoiPA retrieved via the SPARQL endpoint always the same?,"No, they slightly increase over time.","No, the number of triples retrieved from the NoiPA SPARQL endpoint varies across different dates:
May 4, 2025: 412,894,535 triples
July 13, 2025: 432,861,574 triples
August 3, 2025: 439,796,613 triples
September 7, 2025: 446,170,057 triples
The data shows a consistent increase over time, indicating that the dataset is regularly updated and expanding rather than remaining static.",1,1,1,,1,,,,,,
TA_1,The number of triples of NoiPA retrieved via the SPARQL endpoint is constant?,"No, they slightly increase over time.","No, the number of triples for NoiPA retrieved via the SPARQL endpoint is not constant - it shows a consistent increase over time:
May 4, 2025: 412,894,535 triples
July 13, 2025: 432,861,574 triples
August 3, 2025: 439,796,613 triples
September 7, 2025: 446,170,057 triples
This represents a growth of approximately 33 million triples (8% increase) over 4 months, indicating the dataset is actively maintained and regularly updated with new data. The steady upward trend suggests periodic updates rather than a static dataset.",1,1,1,,1,,,,,,
