Source_File,Question_Type,Average_Score,Count,Std_Dev
4_uniform_hyp,Co,0.5555555555555556,9,0.5270462766947299
4_uniform_hyp,E&D,0.5,8,0.5345224838248488
4_uniform_hyp,IR,0.875,8,0.3535533905932738
4_uniform_hyp,TA,0.9,10,0.31622776601683794
csv_data_json_doc,Co,0.4444444444444444,9,0.5270462766947299
csv_data_json_doc,E&D,0.3333333333333333,9,0.5
csv_data_json_doc,IR,1.0,10,0.0
csv_data_json_doc,TA,0.7,10,0.48304589153964794
kg_data_embedded_doc,Co,0.6,10,0.5163977794943222
kg_data_embedded_doc,E&D,0.5,8,0.5345224838248488
kg_data_embedded_doc,IR,1.0,9,0.0
kg_data_embedded_doc,TA,1.0,10,0.0
kg_labeled_hyp,Co,0.75,8,0.4629100498862757
kg_labeled_hyp,E&D,0.4,10,0.5163977794943222
kg_labeled_hyp,IR,1.0,10,0.0
kg_labeled_hyp,TA,1.0,10,0.0
metric_labeled_hyp,Co,0.625,8,0.5175491695067657
metric_labeled_hyp,E&D,0.375,8,0.5175491695067657
metric_labeled_hyp,IR,1.0,10,0.0
metric_labeled_hyp,TA,1.0,10,0.0
time_labeled_hyp,Co,0.75,8,0.4629100498862757
time_labeled_hyp,E&D,0.6666666666666666,9,0.5
time_labeled_hyp,IR,1.0,10,0.0
time_labeled_hyp,TA,0.9,10,0.31622776601683794
unstructured_data_unstructured_doc,Co,0.5,8,0.5345224838248488
unstructured_data_unstructured_doc,E&D,0.5555555555555556,9,0.5270462766947299
unstructured_data_unstructured_doc,IR,0.9,10,0.31622776601683794
unstructured_data_unstructured_doc,TA,1.0,10,0.0
value_labeled_hyp,Co,0.625,8,0.5175491695067657
value_labeled_hyp,E&D,0.5555555555555556,9,0.5270462766947299
value_labeled_hyp,IR,1.0,10,0.0
value_labeled_hyp,TA,0.8,10,0.4216370213557839
