Source_File,Question_Type,Formulation,Average_Score,Count,Std_Dev
4_uniform_hyp,Co,LS,0.5,4,0.5773502691896257
4_uniform_hyp,Co,RV,0.6,5,0.5477225575051661
4_uniform_hyp,E&D,LS,0.5,4,0.5773502691896257
4_uniform_hyp,E&D,RV,0.5,4,0.5773502691896257
4_uniform_hyp,IR,LS,1.0,4,0.0
4_uniform_hyp,IR,RV,0.75,4,0.5
4_uniform_hyp,TA,LS,1.0,5,0.0
4_uniform_hyp,TA,RV,0.8,5,0.4472135954999579
csv_data_json_doc,Co,LS,0.5,4,0.5773502691896257
csv_data_json_doc,Co,RV,0.4,5,0.5477225575051661
csv_data_json_doc,E&D,LS,0.4,5,0.5477225575051661
csv_data_json_doc,E&D,RV,0.25,4,0.5
csv_data_json_doc,IR,LS,1.0,5,0.0
csv_data_json_doc,IR,RV,1.0,5,0.0
csv_data_json_doc,TA,LS,0.8,5,0.4472135954999579
csv_data_json_doc,TA,RV,0.6,5,0.5477225575051662
kg_data_embedded_doc,Co,LS,0.6,5,0.5477225575051661
kg_data_embedded_doc,Co,RV,0.6,5,0.5477225575051661
kg_data_embedded_doc,E&D,LS,0.5,4,0.5773502691896257
kg_data_embedded_doc,E&D,RV,0.5,4,0.5773502691896257
kg_data_embedded_doc,IR,LS,1.0,4,0.0
kg_data_embedded_doc,IR,RV,1.0,5,0.0
kg_data_embedded_doc,TA,LS,1.0,5,0.0
kg_data_embedded_doc,TA,RV,1.0,5,0.0
kg_labeled_hyp,Co,LS,0.75,4,0.5
kg_labeled_hyp,Co,RV,0.75,4,0.5
kg_labeled_hyp,E&D,LS,0.4,5,0.5477225575051661
kg_labeled_hyp,E&D,RV,0.4,5,0.5477225575051661
kg_labeled_hyp,IR,LS,1.0,5,0.0
kg_labeled_hyp,IR,RV,1.0,5,0.0
kg_labeled_hyp,TA,LS,1.0,5,0.0
kg_labeled_hyp,TA,RV,1.0,5,0.0
metric_labeled_hyp,Co,LS,0.5,4,0.5773502691896257
metric_labeled_hyp,Co,RV,0.75,4,0.5
metric_labeled_hyp,E&D,LS,0.25,4,0.5
metric_labeled_hyp,E&D,RV,0.5,4,0.5773502691896257
metric_labeled_hyp,IR,LS,1.0,5,0.0
metric_labeled_hyp,IR,RV,1.0,5,0.0
metric_labeled_hyp,TA,LS,1.0,5,0.0
metric_labeled_hyp,TA,RV,1.0,5,0.0
time_labeled_hyp,Co,LS,0.75,4,0.5
time_labeled_hyp,Co,RV,0.75,4,0.5
time_labeled_hyp,E&D,LS,0.5,4,0.5773502691896257
time_labeled_hyp,E&D,RV,0.8,5,0.4472135954999579
time_labeled_hyp,IR,LS,1.0,5,0.0
time_labeled_hyp,IR,RV,1.0,5,0.0
time_labeled_hyp,TA,LS,1.0,5,0.0
time_labeled_hyp,TA,RV,0.8,5,0.4472135954999579
unstructured_data_unstructured_doc,Co,LS,0.5,4,0.5773502691896257
unstructured_data_unstructured_doc,Co,RV,0.5,4,0.5773502691896257
unstructured_data_unstructured_doc,E&D,LS,0.5,4,0.5773502691896257
unstructured_data_unstructured_doc,E&D,RV,0.6,5,0.5477225575051661
unstructured_data_unstructured_doc,IR,LS,1.0,5,0.0
unstructured_data_unstructured_doc,IR,RV,0.8,5,0.4472135954999579
unstructured_data_unstructured_doc,TA,LS,1.0,5,0.0
unstructured_data_unstructured_doc,TA,RV,1.0,5,0.0
value_labeled_hyp,Co,LS,0.5,4,0.5773502691896257
value_labeled_hyp,Co,RV,0.75,4,0.5
value_labeled_hyp,E&D,LS,0.6,5,0.5477225575051661
value_labeled_hyp,E&D,RV,0.5,4,0.5773502691896257
value_labeled_hyp,IR,LS,1.0,5,0.0
value_labeled_hyp,IR,RV,1.0,5,0.0
value_labeled_hyp,TA,LS,0.8,5,0.4472135954999579
value_labeled_hyp,TA,RV,0.8,5,0.4472135954999579
