Question_ID,Request,Expected_Response,Actual_Response,Voter 1,Voter 2,Voter 3,COMMENTS,Final,,,,,,
IR_1,"Retrieve the SPARQL endpoint status of NoiPA in the date September 7th, 2025?",On,"Based on the quality analysis report dated September 7th, 2025, the SPARQL endpoint for NoiPA had a status of Available.
This is confirmed in the ""Accessibility"" section of the report, which explicitly states:
Sparql endpoint: Available
The endpoint URL is also provided in the report as: https://sparql-noipa.mef.gov.it/sparql
Note that while the endpoint was accessible, other related metrics showed limitations:
RDF dump availability was flagged as offline/missing
URIs were not dereferenceable (0.0 score)
Overall Availability score was 0.5/1",1,1,1,,1,,,,,,
IR_1,Is the NoiPA SPARQL endpoint up in the last assessment?,On,"Based on the most recent assessment (dated 2025-09-07), the NoiPA SPARQL endpoint is up and available with a performance score of 1.0/1, showing:
Median latency: 0.113 seconds
Median throughput: 10 requests/second
However, note that while the SPARQL endpoint is operational, the overall Availability score is 0.5/1 because the RDF dump is reported as offline/missing in both metadata and query checks.",1,1,1,,1,,,,,,
IR_2,Which is the amount of data of the LiLa Lemma Bank dataset?,"1,699,687","The LiLa Lemma Bank dataset contains approximately 1.7 million triples (specifically, 1,699,687 triples as reported in the metadata).
This figure is consistently documented across multiple quality assessment reports from different dates (May, June, July, August, and September 2025).",1,1,1,,1,,,,,,
IR_2,How many triples does LiLa Lemma Bank have?,"1,699,687","Based on the quality analysis reports provided, LiLa Lemma Bank contains approximately 1.7 million triples.
The reports consistently show:
Number of triples (metadata): 1,699,687
Number of triples (query): Not available (could not be checked due to missing/offline SPARQL endpoint)
All assessment dates (May, June, July, August, and September 2025) show the same figure.",1,1,1,,1,,,,,,
IR_3,Which is the license of the DBLP dataset?,CC-0,"The DBLP dataset is licensed under Creative Commons Zero (CC0 1.0), which is a public domain dedication. This is confirmed by both metadata and SPARQL endpoint queries across all assessment reports:
Machine-readable license (metadata): http://www.opendefinition.org/licenses/cc-zero
Machine-readable license (query): https://creativecommons.org/publicdomain/zero/1.0/
This means the DBLP Knowledge Graph is essentially in the public domain with no rights reserved, allowing free use, reuse, and redistribution without restrictions.",1,1,1,,1,,,,,,
IR_3,How is DBLP licensed?,CC-0,"DBLP is licensed under CC0 (Creative Commons Zero) 1.0 Universal.
This is confirmed across multiple quality assessment reports from 2025, which show:
Machine-readable license metadata indicates: http://www.opendefinition.org/licenses/cc-zero
License retrievable via SPARQL endpoint: https://creativecommons.org/publicdomain/zero/1.0/
The CC0 license places the DBLP Knowledge Graph in the public domain, meaning authors have waived all copyright and related rights to the fullest extent possible under law.
Note: The quality assessments consistently flag that a dedicated human-readable license page is not readily available or detected, though the license information is clearly present in machine-readable formats.",1,1,1,,1,,,,,,
IR_4,Which is the accuracy score of WordNet?,0.00,"The accuracy score for WordNet 2.0 (W3C) is 0.0/1 across all assessment dates in the provided reports (May, June, July, August, and September 2025).
This zero score is consistently attributed to the absence of a working SPARQL endpoint, which prevents the measurement of intrinsic quality dimensions including accuracy. The framework cannot evaluate the underlying metrics (such as triples with empty annotations, whitespace issues, malformed data type literals, functional property inconsistencies, or invalid inverse-functional property usage) without query access to the dataset.",1,1,1,,1,,,,,,
IR_4,How accurate is WordNet?,0.00,"Based on the quality analysis reports provided, WordNet 2.0 (W3C) has an Accuracy score of 0.0/1 across all assessment dates (May through September 2025).
However, this score does not mean the data is inaccurate. The 0.0 score indicates that accuracy could not be measured because the dataset lacks a working SPARQL endpoint. The reports explicitly state:
""However, the absence of a working SPARQL endpoint severely limits verifiability of many metrics and prevents measurement of operational qualities (performance, security) and in-data checks (consistency, accuracy).""
All accuracy-related metrics show ""-"" for their values, confirming they were unmeasurable:
Triples with empty annotation problem
Triples with white space in annotation
Triples with malformed data type literals
Functional properties with inconsistent values
Invalid usage of inverse-functional properties
In summary: WordNet's accuracy is formally unassessed due to technical accessibility limitations, not due to demonstrated data quality issues. The score reflects missing measurement capability, not inaccurate content.",1,1,1,,1,,,,,,
IR_5,What is the trust value of the Linked Open Camera dataset?,0.5,"The trust value for the Linked Open Camera dataset (BPR – Bibliografia del Parlamento italiano e degli studi elettorali) is 0.5.
This value is consistent across multiple assessment reports (from 2025-06-01, 2025-07-13, and 2025-09-07), indicating moderate trust based on the quality assessment framework used.",1,1,1,,1,,,,,,
IR_5,How trustworthy is the Linked Open Camera dataset?,0.5,"Based on the quality assessment reports for the BPR – Bibliografia del Parlamento italiano e degli studi elettorali (the Linked Open Data from the Italian Chamber of Deputies, dati.camera.it), the dataset's trustworthiness is moderate at best, with some institutional credibility but significant weaknesses in provenance transparency.
Trustworthiness Assessment Summary
Table
Copy
Trust Dimension	Score (out of 1)	Assessment Date	Key Issues
Believability	0.5	All reports (May–Sep 2025)	Clear description; institutional source implied but not well-documented
Reputation (PageRank)	~0.000075	All reports	Very low external linking and recognition
Verifiability	0.11	All reports	Critically low – authorship and publisher metadata missing
Trusted Provider List	False	All reports	Not listed on major registries
Overall Trust	Weak	-	Institutional backing offset by poor metadata
Strengths
Institutional Source: The data originates from the Library of the Italian Chamber of Deputies, a credible public institution.
Clear Description: The dataset's purpose and scope (bibliographic references on Italian Parliament history and elections) are well-described.
Active Maintenance: Shows recent modification dates (2024-02-08) across assessments.
Critical Weaknesses
No Authorship Metadata: Both SPARQL queries and VoID/metadata files fail to list authors, contributors, or publishers.
No Dataset URL: The dataset URL field is consistently marked as ""absent"" in metadata.
No Digital Signatures: The dataset is unsigned, limiting authenticity verification.
Low External Recognition: PageRank scores (~7.5×10⁻⁵) indicate minimal citation or linking from other knowledge graphs.
No Human-Readable License: While a machine-readable CC BY-SA license is declared, a human-readable version is missing.
Bottom Line
The BPR dataset benefits from its government institutional origin, which provides inherent credibility for many use cases. However, from a machine-verifiable trust perspective, it scores poorly due to missing provenance metadata and lack of transparency about authorship and publishing processes. For applications requiring rigorous data lineage (e.g., academic research, policy analysis), users should independently verify the source and consider the institutional context, as the technical metadata alone does not robustly establish trust.",0,0,0,,0,,,,,,
