Question_ID,Request,Expected_Response,Actual_Response,Voter 1,Voter 2,Voter 3,COMMENTS,Final,,,,,,
IR_1,"Retrieve the SPARQL endpoint status of NoiPA in the date September 7th, 2025?",On,Available,1,1,1,,1,,,,,,
IR_1,Is the NoiPA SPARQL endpoint up in the last assessment?,On,"Yes, according to the data, the NoiPA SPARQL endpoint was available (""Available"") in the last assessment.",1,1,1,,1,,,,,,
IR_2,Which is the amount of data of the LiLa Lemma Bank dataset?,"1,699,687",The amount of data of the LiLa Lemma Bank dataset is 0.333333.,0,0,0,,0,,,,,,
IR_2,How many triples does LiLa Lemma Bank have?,"1,699,687","According to the data, LiLa Lemma Bank has 3318298 triples.",0,1,0,,0,,,,,,
IR_3,Which is the license of DBLP?,CC-0,The DBLP dataset uses the Creative Commons Zero v1.0 Universal license (CC0 1.0).,1,1,1,,1,,,,,,
IR_3,How is DBLP licensed?,CC-0,DBLP is licensed under the Creative Commons Attribution 4.0 International License (CC BY 4.0).,0,0,0,,0,,,,,,
IR_4,Which is the accuracy score of WordNet?,0.00,0.00,1,1,1,,1,,,,,,
IR_4,How accurate is WordNet?,0.00,"The accuracy of WordNet, a large lexical database of English words, is a complex question that has been studied extensively in the field of natural language processing.

WordNet's accuracy can be evaluated from several perspectives:

1. **Synset accuracy**: A synset is a set of synonyms in WordNet. Studies have shown that the accuracy of synsets in WordNet ranges from 80% to 90% (Fellbaum, 1998; Miller et al., 1990). This means that about 10% to 20% of the synsets may contain errors or inconsistencies.
2. **Sense accuracy**: A sense is a specific meaning of a word in WordNet. Research has shown that the accuracy of senses in WordNet is around 70% to 80% (Kilgarriff, 1997; Miller et al., 1990). This means that about 20% to 30% of the senses may be incorrect or incomplete.
3. **Semantic relations accuracy**: WordNet represents semantic relations between words, such as hyponymy (e.g., ""dog"" is a hyponym of ""animal""). Studies have shown that the accuracy of these relations is around 80% to 90% (Fellbaum, 1998; Miller et al., 1990).
4. **Coverage accuracy**: WordNet's coverage of the English language is not exhaustive, and some words or senses may be missing. Estimates suggest that WordNet covers around 70% to 80% of the English language (Kilgarriff, 1997).

Overall, while WordNet is a highly accurate resource, it is not perfect, and its accuracy can vary depending on the specific aspect being evaluated. However, its accuracy is generally considered to be high enough to make it a useful tool for many natural language processing applications.

References:

Fellbaum, C. (1998). WordNet: An Electronic Lexical Database. MIT Press.

Kilgarriff, A. (1997). I don't believe in word senses. Computers and the Humanities, 31(2), 91-113.

Miller, G. A., Beckwith, R., Fellbaum, C., Gross, D., & Miller, K. J. (1990). Introduction to WordNet: An On-Line Lexical Database. International Journal of Lexicography, 3(4), 235-244.
",0,0,0,,0,,,,,,
IR_5,What is the trust value of the Linked Open Camera dataset?,0.5,The trust value of the Linked Open Camera dataset is 0.750000.,0,0,0,,0,,,,,,
IR_5,How trustworthy is the Linked Open Camera dataset?,0.5,"The Linked Open Camera dataset has a trust value of 0.750000, indicating that it is moderately trustworthy.",0,0,0,,0,,,,,,
TA_1,Is the number of triples of NoiPA retrieved via the SPARQL endpoint always the same?,"No, they slightly increase over time.","No, the number of triples of NoiPA retrieved via the SPARQL endpoint is not always the same. According to the data, the number of triples (query) for NoiPA varies across different dates:

* 2025-05-04: 412894535.000000
* 2025-07-13: 432861574.000000
* 2025-08-03: 439796613.000000
* 2025-09-07: 446170057.000000

This suggests that the number of triples in the NoiPA dataset may be changing over time, possibly due to updates or additions to the data.
",1,1,1,,1,,,,,,
TA_1,The number of triples of NoiPA retrieved via the SPARQL endpoint is constant?,"No, they slightly increase over time.","Yes
",0,0,0,,0,,,,,,
TA_2,Is the SPARQL endpoint of DBLP always available?,Yes,"Yes, according to the data, the SPARQL endpoint of DBLP is always available, with a value of ""Available"" for all dates (2025-05-04, 2025-07-13, 2025-08-03, and 2025-09-07).",1,1,1,,1,,,,,,
TA_2,Is the DBLP SPARQL endpoint always up?,Yes,"According to the data, the DBLP SPARQL endpoint was available on May 4, July 13, August 3, and September 7, 2025. However, there is no guarantee that it will always be up, as the availability of the endpoint can change over time due to various reasons such as maintenance, technical issues, or other factors.",1,1,1,,1,,,,,,
TA_3,Is the data dump of the Allie Abbreviation And Long Form dataset always set to 1 in the observed period?,"No, it is discontinuous","Yes, the data dump of the Allie Abbreviation And Long Form dataset was always set to 1 in the observed period.",0,0,0,,0,,,,,,
TA_3,Is the data dump of the Allie Abbreviation And Long Form dataset always up?,"No, it is discontinuous","The data dump of the Allie Abbreviation And Long Form dataset is available, but its availability is not guaranteed. The dataset's metadata indicates that the data dump is available, but it also mentions that the dataset is not always up. Therefore, it is recommended to check the dataset's website or contact the dataset's maintainers to confirm the availability of the data dump before attempting to download it.",0,0,0,,0,,,,,,
TA_4,Is the accuracy of NoiPA constant over time?,No,"Based on the provided data, the accuracy of NoiPA is not explicitly stated to be constant over time. However, the accuracy score is mentioned to be 0.999660 for NoiPA on different dates (2025-05-04, 2025-07-13, 2025-08-03, and 2025-09-07), which suggests that the accuracy of NoiPA remains relatively consistent across these time points.",1,1,1,,1,,,,,,
TA_4,Does the accuracy of NoiPA remain consistent over time?,No,"According to the data, the accuracy score of NoiPA remains consistent over time, with a score of 0.999660 on 2025-05-04, 0.999660 on 2025-07-13, and 0.999660 on 2025-09-07. This suggests that the accuracy of NoiPA does not change significantly over this period.",1,1,1,,1,,,,,,
TA_5,What is the longest continuous period in which the Allie Abbreviation And Long Form dataset data dump has been equals to 1?,91 days,"Based on the provided data, the longest continuous period in which the Allie Abbreviation And Long Form dataset data dump has been equal to 1 is from 2025-05-04 to 2025-09-07, which is approximately 4 months.",1,0,0,,0,,,,,,
TA_5,"For how long, without interruption, has the Allie Abbreviation And Long Form dataset data dump remained up?",91 days,The Allie Abbreviation And Long Form dataset data dump has been up for 577 days without interruption.,0,0,0,,0,,,,,,
Co_1,Which dataset has the highest number of triples?,DBLP,"The dataset with the highest number of triples is ""micro-coronavirus"" with 19,707,510 triples.",0,0,0,,0,,,,,,
Co_1,Which is the biggest dataset among the compared ones?,DBLP,"The biggest dataset among the compared ones is dbpedia, with 1,334,483,984 triples.",0,0,0,,0,,,,,,
Co_2,Which is the dataset performing worst in the license metric?,CIDOC-CRM,"The dataset performing worst in the license metric is CIDOC-CRM, with a Licensing score of 0.000000.",1,1,1,,1,,,,,,
